NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Christian Wood,C,20,26.1,16.9,6.3,11.3,55.3,1.4,3.4,41.2,3,4.4,67.8,7.8,1.4,0.4,0.6,2.5,3,0,19.98
Domantas Sabonis,PF,22,32,16.7,6,10.1,59.9,0.5,1.2,37,4.2,5.5,75.4,11,6.5,0.7,0.5,2.5,14,1,22.03
Lonnie Walker IV,G,19,31.3,16.7,6.2,12.7,48.3,2.1,5.3,39,2.3,2.7,86.3,2.3,1.7,0.9,0.4,1.1,0,0,14.67
Gary Trent Jr.,SG,21,30.8,16.7,5.8,13.6,42.3,2.2,6.7,33.6,2.9,3.8,77.2,2,1.5,1.6,0.1,1.1,0,0,15.05
Spencer Dinwiddie,PG,23,31.6,16.5,5.9,12.9,45.9,2.7,6.6,40.8,2,2.4,81.8,3.1,4.9,1,0.3,1.6,0,0,17.94
Fred VanVleet,SG,18,36.6,16.3,5.3,14.8,35.7,2.8,8.2,34,3,3.6,84.4,3.6,6.4,1.7,0.5,1.8,1,0,14.26
Aaron Gordon,PF,20,29.2,16.1,6.2,10.2,60.8,1.1,2.8,37.5,2.7,4.2,63.1,6.7,2.3,0.7,0.9,1.4,3,0,21.44
Mikal Bridges,SF,24,36.5,16,6.1,11.9,51.6,1.8,3.9,44.7,2,2.3,88.9,5.2,3.3,1.1,1,1.1,1,0,16.76
Jaden Ivey,PG,21,31.8,15.9,5.6,13.5,41.3,1.5,4.8,31,3.3,4.5,73.4,4.9,4.3,1.2,0.3,2.7,3,0,13.18
P.J. Washington,PF,24,32.3,15.9,5.9,13.8,42.7,2,5.8,34.5,2.1,2.6,81,4.7,2.3,0.8,1,1.9,1,0,12.93
Nikola Vucevic,C,23,32,15.8,6.1,12.7,47.8,1.6,4.5,34.6,2,2.4,85.5,11,2.8,0.5,0.7,2,12,0,17.19
Kevin Huerter,SG,22,31.8,15.5,5.5,11.5,47.4,3,7.1,42.3,1.6,2.4,69.2,3.2,3.2,1,0.4,1.5,0,0,14.41
Brook Lopez,C,22,31.1,15.3,5.6,11.2,49.8,2.4,5.8,41.7,1.7,2,82.2,5.9,1.1,0.6,3,1.3,2,0,18.82
