NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Naji Marshall,SF,21,20.3,6.9,2.5,6,41.6,0.8,2.5,32.7,1.1,1.4,79.3,3,2.1,0.7,0.2,0.9,0,0,11.39
Jordan Goodwin,G,17,20.6,6.7,2.6,5.4,49.5,0.8,1.6,48.1,0.6,1,64.7,4,2.8,0.8,0.8,0.9,0,0,15.29
Davion Mitchell,PG,22,19.2,6.7,2.7,6,44.7,0.8,2.7,30.5,0.5,0.7,73.3,1.4,2.3,0.5,0.2,1,0,0,8.93
Kenrich Williams,SF,21,20.4,6.6,2.8,5.3,52.7,0.7,1.8,36.8,0.3,0.7,42.9,3.8,1.4,0.6,0.2,0.4,0,0,13.56
Hamidou Diallo,SG,24,15.4,6.5,2.5,5.1,48.8,0.1,0.5,15.4,1.5,2.3,63.6,2.8,1,0.5,0.2,0.9,0,0,12.19
Andre Drummond,C,17,14.2,6.5,2.8,5.1,54,0,0.1,0,1,1.5,65.4,7.7,0.8,0.5,0.4,1.2,4,0,20.46
R.J. Hampton,PG,21,15.6,6.5,2.2,5,43.8,0.8,2.3,34.7,1.3,1.5,87.1,1.6,1.5,0.8,0.2,0.9,0,0,14.09
Jalen Duren,C,22,21.6,6.5,2.8,4.7,59.2,0,0,0,0.9,2,46.5,6.7,0.6,0.6,0.9,1,2,0,14.49
Kyle Anderson,SF,18,22.1,6.4,2.3,4.7,49.4,0.5,1.2,42.9,1.3,1.6,82.1,4.1,2.9,1,0.9,1.4,0,0,13.48
Derrick Rose,PG,21,13.6,6.4,2.6,6.4,40,0.8,2.3,34.7,0.5,0.5,100,1.8,2,0.3,0.2,0.8,0,0,12.75
Isaiah Hartenstein,C,24,20.9,6.4,2.7,5,53.3,0.2,0.8,22.2,0.9,1,84,6.9,0.8,0.8,1,0.9,1,0,15.75
Cam Thomas,SG,19,14.9,6.4,1.9,5.3,36.6,0.4,1.3,28,2.1,2.6,80,1.3,1.5,0.5,0.2,0.8,0,0,10.17
Kevon Looney,C,25,22.7,6.4,2.7,4.1,66.7,0,0,0,0.9,1.5,60.5,7.2,2.8,0.4,0.5,0.4,1,0,16.79
Dean Wade,PF,17,24.1,6.4,2.2,4.9,45.2,1.4,3.3,41.1,0.5,0.8,69.2,4.1,1,0.7,0.4,0.4,0,0,10.04
Trey Lyles,PF,17,14.2,6.3,2.1,5.1,40.7,1.2,3.6,34.4,0.9,1.3,72.7,2.8,0.8,0.4,0.4,1,0,0,12.05
Jock Landale,C,21,12.8,6.3,2.4,4.6,52.1,0.2,1.3,14.3,1.3,1.7,80,3.6,0.7,0.3,0.7,0.7,0,0,18.71
Duncan Robinson,F,17,17.2,6.1,2.1,5.9,36,1.4,4.3,31.5,0.5,0.6,90,2.1,1.2,0.2,0,0.6,0,0,7.12
David Roddy,G,24,19.3,6.1,2.3,5.9,38.3,1,3.2,30.3,0.6,0.9,71.4,2.7,0.6,0.3,0.3,0.7,0,0,7.38
Aaron Wiggins,SG,17,19.4,6.1,2.2,4.7,46.3,0.8,1.9,39.4,0.9,1.2,80,3.6,1.7,0.5,0.2,0.6,1,0,12.47
Javonte Green,SF,22,16.4,6,2.3,4,58.6,0.5,1.2,37,0.9,1.4,64.5,3.1,0.8,1,0.7,0.6,0,0,16.39
Chimezie Metu,PF,18,12.6,5.9,2.5,4,62.5,0.2,0.9,18.8,0.8,0.9,87.5,3.5,0.8,0.3,0.3,0.7,0,0,17.51
Dalano Banton,PG,18,10.7,5.9,2.2,5.3,42.1,0.7,2.3,31.7,0.8,0.9,87.5,1.6,1.2,0.6,0.6,0.7,0,0,17.95
Maxi Kleber,PF,19,25.2,5.9,2.2,4.6,47.1,1,2.8,35.2,0.6,0.7,78.6,3.5,1.1,0.3,0.9,0.6,0,0,9.45
Daniel Gafford,C,24,13.3,5.9,2.4,3.3,72.2,0,0,0,1.1,2,57.4,4.2,0.4,0.3,1.1,0.9,2,0,20.75
Devonte' Graham,PG,23,16.1,5.8,1.7,4.7,37.4,1.6,4,39.6,0.8,1,78.3,1.5,2.2,0.5,0.3,0.6,0,0,12.63
Isaiah Livers,PF,22,19.5,5.8,1.9,4.7,40.4,1.3,3.7,35.8,0.7,0.9,75,2.3,0.6,0.4,0.5,0.6,0,0,8.44
Walker Kessler,C,23,15.8,5.8,2.4,3.2,75.7,0,0,0,0.9,1.6,56.8,5.3,0.6,0.2,1.7,0.7,2,0,20.23
T.J. McConnell,PG,21,18,5.8,2.5,5.4,46.5,0.2,0.6,33.3,0.5,0.6,91.7,2.5,4.3,1.2,0.2,1.8,1,0,13.62
Dwight Powell,C,20,17.1,5.8,2.2,3.2,68.8,0,0.1,0,1.4,2.1,65.9,3.4,0.5,0.6,0.4,0.9,0,0,14.85
Justin Holiday,SF,18,16.8,5.7,2.2,5.4,40.2,1.3,3.8,35.3,0,0,0,0.9,0.9,0.2,0.3,0.6,0,0,6.91
Jonathan Kuminga,PF,21,15.9,5.6,2.1,4.8,43.6,0.4,1.8,23.7,1,1.3,75,2.9,0.9,0.3,0.5,1.3,1,0,7.98
JaMychal Green,F,22,15.1,5.5,2.3,4.6,50.5,0.3,1.5,17.6,0.6,0.8,77.8,3.9,0.7,0.6,0.4,1,0,0,12.08
Oshae Brissett,SF,19,15.9,5.5,1.7,4.1,42.9,0.9,2.5,36.2,1.2,1.6,73.3,2.9,0.6,0.7,0.2,0.5,0,0,12.17
Nassir Little,SF,21,15.3,5.5,2,4.3,47.3,0.8,2,37.2,0.7,1,66.7,2.4,0.9,0.4,0.1,0.7,0,0,11.2
Drew Eubanks,PF,22,17.5,5.5,2.2,3.1,71,0,0,0,1,1.5,67.6,4.2,0.9,0.5,1,0.8,0,0,16.51
Darius Bazley,PF,18,15.6,5.5,2.1,4.8,43.7,0.5,1.4,36,0.8,1.6,50,3.9,1,0.6,1.3,0.7,0,0,14.81
Thaddeus Young,PF,21,17.1,5.5,2.4,4.5,53.2,0.1,0.7,20,0.6,0.7,85.7,4,1.9,1,0.1,0.9,0,0,16.34
Kendrick Nunn,G,19,13.3,5.5,2.1,5.9,35.7,0.8,3,28.1,0.4,0.5,88.9,1.4,1.3,0.1,0.1,1.3,0,0,4.19
Theo Maledon,PG,22,16.7,5.5,2,4.4,44.8,0.6,1.6,38.9,0.9,1,87,2.4,2.5,0.8,0.2,1.2,0,0,12.54
Chuma Okeke,PF,18,21.8,5.4,1.8,4.8,36.8,1,3.3,30,0.9,1.2,76.2,4.2,1.4,0.6,0.5,0.5,0,0,10.46
Alex Caruso,SG,23,25.8,5.4,1.7,4.3,40.4,0.9,2.4,35.7,1,1.3,77.4,2.7,3.7,1.4,0.8,1.4,1,0,10.21
DeAndre Jordan,C,19,15.7,5.3,2.3,3,75.4,0.1,0.1,100,0.7,1.6,46.7,5.9,1,0.2,0.6,1.3,1,0,15.73
James Bouknight,SG,19,17.2,5.3,2,5.9,33.6,0.7,3.1,23.7,0.5,0.8,62.5,2.4,1.4,0.5,0.2,0.9,0,0,5.25
Isaiah Joe,SG,17,8.2,5.2,1.7,3.5,49.2,1.4,2.9,46,0.4,0.5,77.8,1.3,0.9,0.4,0.1,0.4,0,0,21.86
Montrezl Harrell,C,20,12,5.2,1.7,3.2,53.1,0,0,0,1.8,2.4,74.5,3,0.5,0.2,0.4,0.7,0,0,16.45
Wenyen Gabriel,F,20,13.6,5.1,2,3.4,59.7,0.2,0.7,30.8,0.9,1.1,81.8,3.7,0.7,0.6,0.5,0.7,0,0,16.22
Garrison Mathews,SG,21,13.6,5.1,1.3,3.6,37.3,1.3,3.4,37.5,1.1,1.2,92.3,1.1,0.4,0.6,0,0.3,0,0,10.8
George Hill,PG,23,20.3,5,1.7,4,41.8,0.6,2,28.9,1.1,1.7,68.4,1.9,2.5,0.4,0.1,0.8,0,0,8.81
Moses Moody,SG,20,14.6,5,1.6,3.9,41.6,0.9,2.5,36,0.9,1.1,81.8,1.8,0.6,0.4,0.3,1,0,0,7.99
Cory Joseph,PG,19,14.4,4.9,1.9,4.3,44.4,0.7,1.7,40.6,0.5,0.7,64.3,0.9,2.8,0.3,0.1,0.5,0,0,12.12
Kevin Knox II,SF,18,13.3,4.9,1.8,4.1,44.6,0.9,2.6,34,0.4,0.6,63.6,2.4,0.4,0.3,0.4,0.4,0,0,11.14
Danuel House Jr.,SF,22,18.4,4.9,1.6,3.4,48,0.7,2,34.9,1,1.3,75,2,0.8,0.3,0.2,0.6,0,0,8.35
Reggie Bullock,SF,22,27.4,4.9,1.6,5.3,29.9,1.2,4.4,27.8,0.5,0.7,66.7,3,1,0.9,0.1,0.4,0,0,4.75
Isaiah Roby,PF,19,13.4,4.8,1.9,4.3,44.4,0.6,1.8,34.3,0.4,0.9,44.4,2.8,1.4,0.5,0.3,0.6,0,0,11.64
Derrick Jones Jr.,SF,18,12.8,4.8,1.5,3.4,44.3,0.2,1,22.2,1.6,1.8,84.8,2.3,0.4,0.4,0.7,0.4,0,0,14
Jalen Johnson,SF,22,14.9,4.7,2,4.2,47.3,0.3,1.4,20,0.5,0.7,66.7,3.5,1,0.6,0.3,0.5,1,0,12.24
Luke Kornet,C,20,13.1,4.7,1.9,2.8,67.9,0.1,0.3,33.3,0.8,0.8,93.8,3.6,0.8,0.2,1,0.6,0,0,18.4
Nicolas Batum,PF,25,18.7,4.6,1.6,3.8,41.5,1.1,2.8,38,0.4,0.8,57.9,4,1.3,0.6,0.8,0.7,0,0,10.66
Aaron Holiday,G,21,17.1,4.6,1.7,4,42.4,0.7,1.4,46.7,0.5,0.6,76.9,1.4,1.4,0.6,0.1,0.8,0,0,7.75
Patty Mills,PG,20,11,4.6,1.5,3.6,42.3,1.1,2.8,38.2,0.5,0.5,100,0.8,1.1,0.2,0.1,0.4,0,0,12.78
Zeke Nnaji,PF,17,9.8,4.4,1.9,3.2,58.2,0.2,0.8,21.4,0.5,0.6,80,1.4,0.2,0.2,0.1,0.5,0,0,13.22
Isaac Okoro,SF,24,19.2,4.2,1.5,3.7,39.8,0.3,1.7,20,1,1.2,82.1,2.1,0.6,0.6,0.2,0.7,0,0,5.66
C. Houstan,F,20,19,4.2,1.4,3.9,35.9,1,2.8,35.7,0.4,0.5,80,2.7,0.8,0.2,0.1,0.3,0,0,6.7
P. Beverley,PG,17,26.6,4.2,1.3,4.7,27.5,0.7,3.2,22.2,0.9,1.1,78.9,3.9,2.5,0.8,0.5,0.9,0,0,5.3
C. Koloko,F,24,17,4.1,1.5,3.3,46.2,0,0.3,0,1.1,1.7,65.9,3.7,0.5,0.2,1.2,0.6,0,0,10.54
A. Coffey,SG,21,14.9,4,1.2,3.1,37.9,0.2,0.9,22.2,1.4,1.8,81.1,1.1,1.3,0.2,0.1,0.5,0,0,7.91
U. Garuba,PF,22,15.4,3.9,1.5,2.5,57.1,0.3,0.5,63.6,0.6,1.1,58.3,4.9,1,0.9,0.7,0.9,0,0,15.87
P.J. Tucker,PF,24,28.6,3.5,1.3,3,45.1,0.6,1.6,39.5,0.2,0.3,66.7,4.3,1,0.6,0.3,1,0,0,5.2
P. Reed,SF,21,12.2,3.4,1.5,2.6,58.2,0,0.1,0,0.4,0.6,66.7,4,0.6,1,0.8,0.8,2,0,16.68
R. Lopez,C,18,9.6,3.4,1.4,2.2,65,0,0,0,0.5,0.7,75,1.4,0.4,0.1,0.1,0.7,0,0,11.63
D. Nix,SG,22,15,3.3,1.1,3.2,34.3,0.7,2.1,34.8,0.4,0.6,69.2,1.7,2.5,0.7,0.1,1.4,0,0,7.52
A. Gill,PF,20,12,3.3,1.3,2.4,54.2,0.1,0.7,15.4,0.6,0.7,84.6,1.7,0.6,0.2,0.3,0.2,0,0,10.49
B. Biyombo,C,20,12.2,3.2,1.4,2.6,53.8,0,0,0,0.4,1,40,3.4,0.8,0.3,1.4,1.1,1,0,11.97
W. Matthews,SG,18,15.5,3.2,1,3.3,30.5,0.8,2.6,29.8,0.4,0.4,87.5,1.9,0.6,0.5,0.2,0.3,0,0,6.1
J. Christopher,SG,17,7.2,2.9,1.2,2.8,43.8,0.2,0.8,21.4,0.3,0.4,83.3,1.1,0.6,0.3,0.1,0.7,0,0,9.06
C. Braun,G,21,12.7,2.9,1.1,2.7,40.4,0.3,1,35,0.3,0.6,53.8,2,0.7,0.4,0.1,0.3,0,0,8.2
D. Reed,SG,18,11.1,2.8,0.9,2.9,30.2,0.6,1.7,36.7,0.4,0.6,80,1.6,0.5,0.3,0.1,0.7,0,0,3.54
J. Okogie,SF,20,8.3,2.4,0.9,2.6,33.3,0.2,1.2,13,0.5,0.8,62.5,2,0.8,0.6,0.3,0.5,0,0,10.91
M. Thybulle,SG,20,11.4,1.5,0.6,2,30.8,0.3,1.2,21.7,0.1,0.2,33.3,1.2,0.4,0.8,0.3,0.2,0,0,6.02
